BlkNumber;BlkRoute;BlkVehType;TrpNumber;TrpType;TrpRoute;TrpVia;TrpDirection;TrpStartPlace;TrpEndPlace;TrpStartTime;TrpEndTime;TrpDistance;TrpDuration;TrpEndLay;TrpExtraLay
01-janv;T3;;7032;REG;T3;1;DIR1;CASPOR;CIDJ_a;07:19:00;07:50:20;9.007;00:31:20;00:00:00;00:00:00
04-janv;T3;;7033;REG;T3;1;DIR1;CASPOR;CIDJ_a;07:35:00;08:06:20;9.007;00:31:20;00:00:00;00:00:00
11-janv;T3;;7035;REG;T3;1;DIR1;CASPOR;CIDJ_a;07:59:00;08:30:20;9.007;00:31:20;00:00:00;00:00:00
02-janv;T3;;7036;REG;T3;1;DIR1;CASPOR;CIDJ_a;08:23:00;08:54:20;9.007;00:31:20;00:00:00;00:00:00
07-janv;T3;;7037;REG;T3;1;DIR1;CASPOR;CIDJ_a;08:47:00;09:18:20;9.007;00:31:20;00:00:00;00:00:00
04-janv;T3;;7038;REG;T3;1;DIR1;CASPOR;HANT_a;08:55:00;09:39:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;7039;REG;T3;1;DIR1;CASPOR;CIDJ_a;09:06:00;09:37:20;9.007;00:31:20;00:00:00;00:00:00
08-janv;T3;;7042;REG;T3;1;DIR1;CASPOR;HANT_a;07:11:00;07:55:54;13.470;00:44:54;00:00:00;00:00:00
09-janv;T3;;7043;REG;T3;1;DIR1;CASPOR;HANT_a;07:27:00;08:11:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;7833;REG;T3;2;DIR2;HANT_d;CASPOR;22:31:00;23:15:54;13.470;00:44:54;00:00:00;00:00:00
07-janv;T3;;8025;REG;T3;2;DIR2;CIDJ_d;CASPOR;22:13:31;22:44:54;9.007;00:31:23;00:00:00;00:00:00
12-janv;T3;;7832;REG;T3;2;DIR2;HANT_d;CASPOR;22:15:00;22:59:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;7837;REG;T3;1;DIR1;CASPOR;HANT_a;22:15:00;22:59:54;13.470;00:44:54;00:00:00;00:00:00
07-janv;T3;;8024;REG;T3;1;DIR1;CASPOR;CIDJ_a;21:27:00;21:58:20;9.007;00:31:20;00:00:00;00:00:00
09-févr;T3;;7839;REG;T3;1;DIR1;CASPOR;HANT_a;22:30:00;23:14:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;7836;REG;T3;1;DIR1;CASPOR;HANT_a;22:03:00;22:47:54;13.470;00:44:54;00:00:00;00:00:00
04-janv;T3;;7835;REG;T3;1;DIR1;CASPOR;HANT_a;21:51:00;22:35:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;8457;REG;T3;1;DIR1;CASPOR;CIDJ_a;09:30:00;10:01:20;9.007;00:31:20;00:00:00;00:00:00
10-janv;T3;;8548;REG;T3;1;DIR1;CASPOR;HANT_a;07:51:00;08:35:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;8809;REG;T3;1;DIR1;CASPOR;CIDJ_a;20:15:00;20:46:20;9.007;00:31:20;00:00:00;00:00:00
08-janv;T3;;8808;REG;T3;1;DIR1;CASPOR;HANT_a;18:31:00;19:15:54;13.470;00:44:54;00:00:00;00:00:00
